sex,age,address,Pstatus,Medu,Fedu,guardian,studytime,failures,schoolsup,famsup,paid,higher,internet,famrel,absences,G3
F,18,U,A,4,4,mother,2,0,yes,no,no,yes,no,4,6,6
F,17,U,T,1,1,father,2,0,no,yes,no,yes,yes,5,4,6
F,15,U,T,1,1,mother,2,3,yes,no,yes,yes,yes,4,10,10
F,15,U,T,4,2,mother,3,0,no,yes,yes,yes,yes,3,2,15
F,16,U,T,3,3,father,2,0,no,yes,yes,yes,no,4,4,10
M,16,U,T,4,3,mother,2,0,no,yes,yes,yes,yes,5,10,15
M,16,U,T,2,2,mother,2,0,no,no,no,yes,yes,4,0,11
F,17,U,A,4,4,mother,2,0,yes,yes,no,yes,no,4,6,6
M,15,U,A,3,2,mother,2,0,no,yes,yes,yes,yes,4,0,19
M,15,U,T,3,4,mother,2,0,no,yes,yes,yes,yes,5,0,15
F,15,U,T,4,4,mother,2,0,no,yes,yes,yes,yes,3,0,9
F,15,U,T,2,1,father,3,0,no,yes,no,yes,yes,5,4,12
M,15,U,T,4,4,father,1,0,no,yes,yes,yes,yes,4,2,14
M,15,U,T,4,3,mother,2,0,no,yes,yes,yes,yes,5,2,11
M,15,U,A,2,2,other,3,0,no,yes,no,yes,yes,4,0,16
F,16,U,T,4,4,mother,1,0,no,yes,no,yes,yes,4,4,14
F,16,U,T,4,4,mother,3,0,no,yes,yes,yes,yes,3,6,14
F,16,U,T,3,3,mother,2,0,yes,yes,no,yes,no,5,4,10
M,17,U,T,3,2,mother,1,3,no,yes,no,yes,yes,5,16,5
M,16,U,T,4,3,father,1,0,no,no,yes,yes,yes,3,4,10
M,15,U,T,4,3,mother,2,0,no,no,no,yes,yes,4,0,15
M,15,U,T,4,4,father,1,0,no,yes,yes,yes,yes,5,0,15
M,16,U,T,4,2,mother,2,0,no,no,no,yes,yes,4,2,16
M,16,U,T,2,2,mother,2,0,no,yes,no,yes,yes,5,0,12
F,15,R,T,2,4,mother,3,0,yes,yes,yes,yes,yes,4,2,8
F,16,U,T,2,2,mother,1,2,no,yes,yes,yes,yes,1,14,8
M,15,U,T,2,2,mother,1,0,no,yes,yes,yes,yes,4,2,11
M,15,U,T,4,2,mother,1,0,no,no,yes,yes,yes,2,4,15
M,16,U,A,3,4,mother,2,0,yes,yes,no,yes,yes,5,4,11
M,16,U,T,4,4,mother,2,0,no,yes,yes,yes,yes,4,16,11
M,15,U,T,4,4,mother,2,0,no,yes,yes,yes,yes,5,0,12
M,15,U,T,4,4,mother,2,0,no,yes,no,yes,yes,4,0,17
M,15,R,T,4,3,mother,2,0,no,yes,no,yes,yes,4,0,16
M,15,U,T,3,3,mother,2,0,no,no,no,yes,yes,5,0,12
M,16,U,T,3,2,mother,1,0,no,yes,yes,yes,yes,5,0,15
F,15,U,T,2,3,father,1,0,no,yes,no,yes,no,3,0,6
M,15,U,T,4,3,mother,3,0,no,yes,no,yes,yes,5,2,18
M,16,R,A,4,4,mother,3,0,no,yes,no,yes,yes,2,7,15
F,15,R,T,3,4,mother,3,0,yes,yes,yes,yes,yes,4,2,11
F,15,R,T,2,2,mother,1,0,yes,yes,yes,yes,no,4,8,13
F,16,U,T,2,2,mother,2,1,no,yes,no,yes,yes,3,25,11
M,15,U,T,4,4,other,1,0,no,yes,no,yes,yes,5,8,12
M,15,U,T,4,4,father,2,0,no,yes,no,yes,yes,4,2,18
M,15,U,T,2,2,father,1,0,yes,yes,no,yes,yes,5,0,11
F,16,U,T,2,2,father,2,1,yes,no,no,yes,yes,4,14,9
F,15,U,A,4,3,mother,2,0,yes,yes,yes,yes,yes,5,8,6
F,16,U,A,3,3,mother,2,0,no,yes,no,yes,yes,2,12,11
M,16,U,T,4,3,mother,4,0,no,no,no,yes,yes,4,4,20
M,15,U,T,4,2,mother,2,0,no,yes,yes,yes,no,4,2,14
F,15,U,T,4,4,father,2,1,yes,yes,no,yes,yes,4,2,7
F,16,U,T,2,2,mother,2,0,no,yes,yes,yes,yes,4,2,13
F,15,U,T,4,2,mother,2,0,no,yes,yes,yes,yes,4,2,13
M,15,U,A,4,2,father,1,1,no,no,no,yes,no,5,6,10
F,15,U,T,4,4,mother,1,0,yes,yes,yes,yes,yes,3,0,11
F,15,U,A,3,3,mother,1,0,no,no,yes,yes,yes,5,6,13
F,16,U,A,2,1,mother,2,0,no,no,yes,yes,yes,5,8,10
F,15,U,A,4,3,mother,2,0,no,yes,yes,yes,yes,4,0,15
M,15,U,T,4,4,mother,2,0,no,yes,no,yes,no,3,4,15
M,15,U,T,1,2,father,2,0,yes,yes,no,yes,yes,4,2,9
F,16,U,T,4,2,mother,2,0,no,yes,no,yes,yes,4,2,16
F,16,R,T,4,4,mother,2,0,no,yes,no,yes,no,2,6,11
F,16,U,T,1,1,father,1,0,yes,yes,no,yes,yes,5,6,11
F,16,U,T,1,2,father,2,0,yes,no,no,yes,yes,4,4,9
F,16,U,T,4,3,mother,3,0,yes,yes,yes,yes,yes,3,2,9
F,15,U,T,4,3,father,2,0,yes,no,no,yes,yes,4,0,10
F,16,U,T,4,3,mother,2,0,no,yes,no,yes,yes,5,2,15
M,15,U,A,4,4,mother,4,0,no,yes,no,yes,yes,1,4,12
F,16,U,T,3,1,mother,4,0,yes,yes,yes,yes,yes,4,4,6
F,15,R,T,2,2,mother,2,0,yes,yes,yes,yes,yes,4,2,8
F,15,R,T,3,1,father,4,0,no,yes,no,yes,yes,4,12,16
M,16,U,T,3,1,father,4,0,no,yes,yes,yes,yes,4,0,15
M,15,U,T,4,2,mother,4,0,no,no,no,yes,yes,3,0,10
F,15,R,T,1,1,mother,2,2,yes,yes,no,yes,yes,3,2,5
M,16,U,T,3,1,mother,1,0,no,no,no,yes,no,5,2,14
M,15,U,T,4,3,mother,2,0,no,yes,yes,yes,yes,4,6,10
M,15,U,T,4,0,mother,4,0,no,no,no,yes,yes,3,8,10
F,16,U,T,2,2,mother,4,0,no,no,yes,yes,yes,5,0,11
M,17,U,T,2,1,mother,1,3,yes,yes,no,no,yes,4,2,10
F,16,U,T,3,4,mother,2,0,no,yes,no,yes,yes,2,12,5
M,15,U,T,2,3,father,1,0,yes,yes,yes,yes,yes,3,2,12
M,15,U,T,2,3,mother,3,0,yes,no,yes,yes,yes,5,4,11
F,15,U,T,3,2,mother,2,0,no,yes,yes,yes,yes,4,10,6
M,15,U,T,2,2,mother,2,0,no,no,yes,yes,yes,5,4,15
F,15,U,T,1,1,father,2,0,no,yes,no,yes,yes,4,2,10
F,15,U,T,4,4,father,2,2,no,no,yes,yes,yes,4,6,8
F,16,U,T,2,2,mother,2,0,no,yes,no,yes,no,4,4,6
F,15,U,T,4,2,mother,3,0,no,yes,no,yes,yes,5,4,14
M,16,U,T,2,2,father,2,1,no,no,yes,yes,yes,4,12,10
M,16,U,A,4,4,mother,2,0,no,yes,no,yes,no,4,18,7
F,16,U,T,3,3,mother,3,0,no,yes,yes,yes,yes,4,0,8
F,15,U,T,4,3,mother,1,0,no,no,yes,yes,yes,4,4,18
F,16,U,T,3,1,father,2,0,yes,yes,no,yes,no,3,4,6
F,16,U,T,4,2,mother,2,0,no,yes,yes,yes,yes,5,0,10
M,15,U,T,2,2,mother,4,0,no,yes,no,yes,yes,4,6,14
F,15,R,T,1,1,mother,4,1,yes,yes,yes,yes,yes,3,2,10
M,16,R,T,4,3,mother,1,0,yes,yes,no,yes,yes,3,2,15
F,16,U,T,2,1,mother,2,0,no,yes,yes,yes,no,4,2,10
F,16,U,T,4,4,mother,1,0,no,no,no,yes,yes,5,6,14
F,16,U,T,4,3,mother,3,0,yes,yes,yes,yes,yes,5,0,8
M,16,U,T,4,4,mother,1,0,yes,yes,yes,yes,yes,4,14,5
M,16,U,T,4,4,father,3,0,no,yes,no,yes,yes,4,0,17
M,15,U,T,4,4,mother,1,0,no,yes,no,yes,yes,5,4,14
F,15,U,T,3,2,mother,2,0,yes,yes,yes,yes,yes,4,26,6
M,15,U,A,3,4,mother,2,0,no,yes,yes,yes,yes,5,0,18
F,15,U,A,3,3,father,4,0,yes,no,no,yes,no,4,10,11
F,15,U,T,2,2,mother,4,0,yes,yes,yes,yes,yes,5,8,8
M,16,U,T,3,3,father,3,0,no,yes,no,yes,yes,5,2,18
M,15,R,T,4,4,father,4,0,no,yes,yes,yes,yes,1,6,13
F,16,U,T,4,4,mother,3,0,no,yes,yes,yes,yes,5,4,16
M,15,U,A,4,4,mother,1,0,no,no,no,yes,yes,5,6,19
F,16,R,T,3,3,father,3,1,yes,yes,no,yes,yes,4,0,10
F,16,U,T,2,2,mother,2,1,yes,no,no,yes,yes,3,6,13
M,15,U,T,4,2,mother,1,0,no,no,no,yes,yes,3,10,19
M,15,R,T,2,1,mother,2,0,no,no,no,yes,yes,5,8,9
M,16,U,T,4,4,father,2,0,no,yes,no,yes,yes,5,2,16
M,15,U,T,4,4,father,2,0,no,yes,no,yes,no,4,2,14
M,16,U,T,3,3,father,1,0,no,no,no,yes,yes,5,0,13
M,17,R,T,1,3,father,2,1,no,yes,no,yes,yes,5,20,8
M,15,U,T,3,4,father,1,0,no,no,no,yes,yes,3,6,13
F,15,U,T,1,2,mother,2,0,no,no,no,yes,yes,3,2,15
M,15,U,T,2,2,father,4,0,no,yes,yes,yes,yes,5,6,15
F,16,U,T,2,4,father,2,0,no,yes,yes,yes,yes,4,2,13
M,16,U,T,4,4,mother,1,0,no,yes,no,yes,yes,3,18,13
F,16,U,T,2,2,mother,2,0,no,no,yes,yes,yes,5,0,8
M,15,U,T,3,4,father,1,0,yes,no,no,yes,yes,5,0,12
F,15,U,A,3,4,mother,2,0,yes,no,no,yes,yes,5,0,11
F,19,U,T,0,1,other,2,3,no,yes,no,no,no,3,2,9
M,18,R,T,2,2,mother,1,2,no,yes,no,yes,yes,3,0,0
M,16,R,T,4,4,mother,1,0,no,no,yes,yes,yes,3,8,18
F,15,R,T,3,4,father,3,2,no,yes,no,yes,yes,4,0,0
F,15,U,T,1,1,mother,1,0,no,yes,no,yes,yes,4,0,0
F,17,U,T,2,2,father,1,0,no,yes,no,yes,yes,3,12,12
F,16,U,A,3,4,father,1,0,no,no,no,yes,yes,3,16,11
M,15,R,T,3,4,mother,2,0,no,yes,no,yes,no,5,0,0
F,15,U,T,4,4,mother,3,0,no,yes,no,yes,yes,4,0,0
M,17,R,T,3,4,mother,2,0,no,no,no,yes,no,5,0,0
F,16,U,A,3,3,other,1,2,no,yes,no,yes,yes,4,0,0
M,16,U,T,1,1,mother,2,1,no,no,no,yes,no,4,0,12
F,15,U,T,4,4,mother,1,0,no,no,no,yes,yes,4,0,15
M,15,U,T,4,3,father,4,0,yes,yes,no,yes,yes,2,0,0
M,16,U,T,2,2,father,1,2,no,yes,no,yes,yes,2,8,9
F,15,U,T,4,4,mother,3,0,no,yes,yes,yes,yes,4,2,11
F,16,U,T,1,1,mother,1,0,no,no,no,yes,yes,3,2,13
M,17,U,T,2,1,mother,1,3,no,yes,no,yes,yes,5,0,0
F,15,U,T,1,1,father,2,0,no,yes,yes,yes,yes,4,0,11
F,15,U,T,3,2,father,2,3,no,yes,no,yes,yes,3,0,0
F,15,U,T,1,2,mother,2,0,no,yes,yes,yes,yes,4,2,11
M,16,U,T,4,4,mother,1,0,no,yes,no,no,yes,3,0,0
M,15,U,A,2,1,mother,1,3,no,no,no,yes,yes,4,0,10
M,18,U,T,1,1,mother,1,3,no,no,no,no,yes,2,0,0
M,16,U,T,2,1,mother,1,1,no,no,no,yes,no,4,6,14
F,15,R,T,3,3,other,3,2,no,yes,yes,yes,yes,4,8,10
M,19,U,T,3,2,mother,1,3,no,yes,no,no,yes,4,0,0
F,17,U,T,4,4,mother,1,0,yes,yes,no,yes,no,4,0,12
M,15,R,T,2,3,mother,2,0,yes,no,yes,yes,no,4,2,8
M,17,R,T,1,2,mother,1,0,no,no,no,yes,no,2,8,13
F,18,R,T,1,1,mother,1,3,no,yes,no,yes,no,5,6,10
M,16,R,T,2,2,mother,1,0,no,no,no,yes,no,4,2,15
M,16,U,T,3,3,father,2,1,no,yes,yes,yes,yes,4,4,12
M,17,R,T,2,1,mother,1,2,no,no,no,no,yes,3,0,0
M,15,R,T,3,2,mother,2,2,yes,yes,no,yes,yes,4,6,7
M,16,U,T,1,2,mother,1,1,no,no,no,yes,no,4,0,0
M,17,U,T,1,3,father,1,0,no,no,no,no,yes,5,2,10
M,17,R,T,1,1,mother,2,3,no,no,no,no,no,5,0,7
M,16,U,T,3,2,mother,1,1,no,yes,no,no,no,4,16,12
M,16,U,T,2,2,father,2,0,no,no,no,no,yes,4,4,10
F,16,U,T,4,2,father,2,0,no,no,yes,yes,yes,4,0,16
F,16,U,T,2,2,mother,2,0,no,yes,yes,yes,yes,5,0,0
F,16,U,T,4,4,mother,2,0,no,yes,yes,yes,yes,4,0,14
M,16,U,T,3,4,father,1,2,no,yes,no,yes,yes,3,0,0
M,16,U,T,1,0,mother,2,0,no,yes,yes,yes,yes,4,2,16
M,17,U,T,4,4,mother,2,0,no,yes,yes,yes,yes,4,0,10
F,16,U,T,1,3,mother,2,3,no,no,no,yes,yes,4,0,0
F,16,U,T,3,3,mother,2,0,no,yes,yes,yes,yes,4,4,9
M,17,U,T,4,3,mother,2,0,no,no,yes,yes,yes,4,4,9
F,16,U,T,2,2,mother,2,0,no,no,yes,yes,yes,3,2,11
M,17,U,T,3,3,father,2,0,no,no,no,yes,yes,4,4,6
M,16,R,T,4,2,mother,1,0,no,yes,no,yes,yes,4,10,9
M,17,U,T,4,3,mother,2,0,no,yes,no,yes,yes,5,4,11
M,16,U,T,4,3,mother,2,0,no,yes,yes,yes,yes,3,10,8
M,16,U,T,3,3,mother,2,0,no,no,yes,yes,yes,4,2,12
F,17,U,T,2,4,father,2,0,no,yes,no,yes,no,5,0,17
F,16,U,T,3,2,mother,2,0,no,yes,yes,yes,yes,1,14,12
M,17,U,T,3,3,mother,2,0,no,yes,no,yes,yes,4,12,11
M,16,U,T,1,2,mother,1,0,no,yes,yes,yes,yes,3,2,11
M,16,U,T,2,1,mother,2,0,no,no,yes,yes,yes,4,0,15
F,17,U,A,3,3,mother,2,0,no,yes,no,yes,yes,3,6,9
M,17,R,T,1,2,mother,2,0,no,no,no,yes,no,3,4,10
F,16,U,T,2,3,mother,2,0,no,no,no,yes,yes,4,10,13
F,17,U,T,1,1,mother,2,0,no,no,no,yes,yes,5,0,9
M,17,U,T,1,2,other,2,0,no,no,yes,yes,yes,4,12,8
M,16,R,T,3,3,mother,1,0,no,yes,no,yes,yes,4,8,10
M,16,U,T,2,3,father,1,0,no,no,no,yes,yes,5,0,14
F,17,U,T,2,4,father,2,0,no,no,no,yes,yes,4,0,15
